Date,Open,High,Low,Close,Volume,Adj Close
2015-09-04,5.51,5.51,5.51,5.51,800,5.51
2015-09-03,5.50,5.50,5.50,5.50,300,5.50
2015-09-02,5.50,5.50,5.50,5.50,000,5.50
2015-09-01,5.50,5.50,5.50,5.50,000,5.50
2015-08-31,5.50,5.50,5.50,5.50,000,5.50
2015-08-28,5.50,5.50,5.50,5.50,000,5.50
2015-08-27,5.50,5.50,5.50,5.50,000,5.50
2015-08-26,5.50,5.50,5.50,5.50,300,5.50
2015-08-25,5.70,5.70,5.70,5.70,000,5.70
2015-08-24,5.70,5.70,5.70,5.70,000,5.70
2015-08-21,5.70,5.70,5.70,5.70,000,5.70
2015-08-20,5.70,5.70,5.70,5.70,000,5.70
2015-08-19,5.70,5.70,5.70,5.70,000,5.70
2015-08-18,5.70,5.70,5.70,5.70,000,5.70
2015-08-17,5.70,5.70,5.70,5.70,200,5.70
2015-08-14,6.00,6.20,6.00,6.00,500,6.00
2015-08-13,6.10,6.10,6.10,6.10,200,6.10
2015-08-12,6.00,6.00,6.00,6.00,300,6.00
2015-08-11,6.10,6.10,6.10,6.10,000,6.10
2015-08-10,6.11,6.11,6.10,6.10,700,6.10
2015-08-07,6.05,6.05,6.05,6.05,000,6.05
2015-08-06,6.05,6.05,6.05,6.05,000,6.05
2015-08-05,6.05,6.05,6.05,6.05,000,6.05
2015-08-04,6.05,6.05,6.05,6.05,000,6.05
2015-08-03,6.23,6.23,6.05,6.05,1400,6.05
2015-07-31,6.11,6.11,6.11,6.11,000,6.11
2015-07-30,6.11,6.11,6.11,6.11,000,6.11
2015-07-29,6.11,6.11,6.11,6.11,000,6.11
2015-07-28,6.11,6.11,6.11,6.11,000,6.11
2015-07-27,6.11,6.11,6.11,6.11,1000,6.11
2015-07-24,6.20,6.20,6.20,6.20,1100,6.20
2015-07-23,6.20,6.20,6.20,6.20,000,6.20
2015-07-22,6.20,6.20,6.20,6.20,000,6.20
2015-07-21,6.20,6.20,6.20,6.20,000,6.20
2015-07-20,6.20,6.20,6.20,6.20,200,6.20
2015-07-17,6.15,6.93,6.12,6.12,2700,6.12
2015-07-16,6.40,6.40,6.40,6.40,000,6.40
2015-07-15,6.40,6.40,6.40,6.40,500,6.40
2015-07-14,6.43,6.43,6.43,6.43,200,6.28
2015-07-13,6.50,6.50,6.50,6.50,000,6.348367
2015-07-10,6.32,6.76,6.32,6.50,500,6.348367
2015-07-09,6.06,6.06,6.06,6.06,000,5.918632
2015-07-08,6.06,6.06,6.06,6.06,000,5.918632
2015-07-07,6.06,6.06,6.06,6.06,100,5.918632
2015-07-06,6.06,6.06,6.06,6.06,200,5.918632
2015-07-02,6.43,6.43,6.43,6.43,100,6.28
2015-07-01,6.43,6.43,6.43,6.43,000,6.28
2015-06-30,6.43,6.43,6.43,6.43,200,6.28
2015-06-29,6.50,7.55,6.50,7.20,1300,7.032037
2015-06-26,6.30,6.30,6.30,6.30,200,6.153033
2015-06-25,5.90,5.90,5.90,5.90,000,5.762364
2015-06-24,5.90,5.90,5.90,5.90,000,5.762364
2015-06-23,5.90,5.90,5.90,5.90,000,5.762364
2015-06-22,5.90,5.90,5.90,5.90,000,5.762364
2015-06-19,5.90,5.90,5.90,5.90,200,5.762364
2015-06-18,7.00,7.00,7.00,7.00,000,6.836703
2015-06-17,7.00,7.00,7.00,7.00,000,6.836703
2015-06-16,7.00,7.00,7.00,7.00,200,6.836703
2015-06-15,6.50,6.50,6.50,6.50,000,6.348367
2015-06-12,6.50,6.50,6.50,6.50,000,6.348367
2015-06-11,6.50,6.50,6.50,6.50,500,6.348367
2015-06-10,6.50,6.50,6.50,6.50,000,6.348367
2015-06-09,6.50,6.50,6.50,6.50,000,6.348367
2015-06-08,6.50,6.50,6.50,6.50,000,6.348367
2015-06-05,6.50,6.50,6.50,6.50,000,6.348367
2015-06-04,6.50,6.50,6.50,6.50,000,6.348367
2015-06-03,6.50,6.50,6.50,6.50,000,6.348367
2015-06-02,6.50,6.50,6.50,6.50,000,6.348367
2015-06-01,6.45,6.50,6.45,6.50,1000,6.348367
2015-05-29,7.00,7.00,5.89,5.89,800,5.752597
2015-05-28,7.10,7.77,7.08,7.77,2100,7.58874
2015-05-27,6.90,6.90,6.45,6.50,800,6.348367
2015-05-26,6.12,6.14,6.10,6.10,600,5.957698
2015-05-22,6.14,6.14,6.14,6.14,400,5.996765
2015-05-21,7.02,7.02,7.02,7.02,000,6.856237
2015-05-20,7.02,7.02,7.02,7.02,000,6.856237
2015-05-19,7.02,7.02,7.02,7.02,000,6.856237
2015-05-18,7.02,7.02,7.02,7.02,000,6.856237
2015-05-15,7.02,7.02,7.02,7.02,000,6.856237
2015-05-14,7.02,7.02,7.02,7.02,000,6.856237
2015-05-13,7.02,7.02,7.02,7.02,000,6.856237
2015-05-12,7.00,7.02,7.00,7.02,500,6.856237
2015-05-11,7.00,7.00,7.00,7.00,000,6.836703
2015-05-08,7.00,7.00,7.00,7.00,000,6.836703
2015-05-07,7.00,7.00,7.00,7.00,000,6.836703
2015-05-06,7.00,7.00,7.00,7.00,2400,6.836703
2015-05-05,6.22,6.22,6.11,6.11,400,5.967465
2015-05-04,6.40,6.50,6.40,6.45,900,6.299533
2015-05-01,7.00,7.00,7.00,7.00,000,6.836703
2015-04-30,7.00,7.00,7.00,7.00,000,6.836703
2015-04-29,7.00,7.00,7.00,7.00,000,6.836703
2015-04-28,7.00,7.00,7.00,7.00,000,6.836703
2015-04-27,7.00,7.00,7.00,7.00,000,6.836703
2015-04-24,7.00,7.00,7.00,7.00,000,6.836703
2015-04-23,7.00,7.00,7.00,7.00,000,6.836703
2015-04-22,6.79,7.00,6.79,7.00,1000,6.836703
2015-04-21,6.72,6.72,6.72,6.72,000,6.563235
2015-04-20,6.72,6.72,6.72,6.72,100,6.563235
2015-04-17,6.71,6.71,6.71,6.71,000,6.553468
2015-04-16,6.71,6.71,6.71,6.71,000,6.553468
2015-04-15,6.71,6.71,6.71,6.71,000,6.553468
2015-04-14,6.76,6.79,6.54,6.71,3300,6.406967
2015-04-13,6.68,6.68,6.68,6.68,000,6.378322
2015-04-10,6.68,6.68,6.68,6.68,300,6.378322
2015-04-09,6.40,6.40,6.40,6.40,000,6.110967
2015-04-08,6.40,6.40,6.40,6.40,000,6.110967
2015-04-07,6.40,6.40,6.40,6.40,000,6.110967
2015-04-06,6.40,6.40,6.40,6.40,100,6.110967
2015-04-02,6.52,6.52,6.52,6.52,000,6.225548
2015-04-01,6.50,6.59,6.46,6.52,1000,6.225548
2015-03-31,6.71,6.71,6.37,6.46,1500,6.168258
2015-03-30,6.27,6.56,6.26,6.40,4200,6.110967
2015-03-27,6.43,6.48,6.41,6.48,1400,6.187354
2015-03-26,6.20,6.20,6.20,6.20,600,5.919999
2015-03-25,6.30,6.30,6.30,6.30,000,6.015484
2015-03-24,6.58,6.58,6.30,6.30,4000,6.015484
2015-03-23,6.36,6.36,6.36,6.36,000,6.072774
2015-03-20,6.36,6.36,6.36,6.36,000,6.072774
2015-03-19,6.36,6.36,6.36,6.36,000,6.072774
2015-03-18,6.36,6.36,6.36,6.36,100,6.072774
2015-03-17,6.25,6.25,6.25,6.25,400,5.967741
2015-03-16,6.65,6.96,6.11,6.11,1300,5.834064
2015-03-13,6.06,6.69,6.06,6.69,400,6.387871
2015-03-12,6.08,6.08,6.06,6.06,300,5.786322
2015-03-11,7.20,7.20,6.00,6.00,2600,5.729032
2015-03-10,7.20,7.20,7.20,7.20,200,6.874838
2015-03-09,7.75,7.75,7.01,7.10,10600,6.779354
2015-03-06,8.00,8.00,8.00,8.00,000,7.638709
2015-03-05,8.40,8.40,7.30,8.00,1400,7.638709
2015-03-04,8.14,8.14,8.14,8.14,000,7.772387
2015-03-03,8.09,8.14,8.09,8.14,600,7.772387
2015-03-02,7.97,7.97,7.97,7.97,400,7.610064
2015-02-27,7.62,7.75,7.00,7.75,5300,7.399999
2015-02-26,7.35,8.00,7.00,8.00,9200,7.638709
2015-02-25,7.00,7.00,7.00,7.00,000,6.68387
2015-02-24,7.00,7.00,7.00,7.00,000,6.68387
2015-02-23,7.00,7.00,7.00,7.00,000,6.68387
2015-02-20,7.32,7.32,6.90,7.00,1600,6.68387
2015-02-19,6.53,6.53,6.53,6.53,200,6.235096
2015-02-18,7.00,7.00,7.00,7.00,200,6.68387
2015-02-17,6.47,6.47,6.47,6.47,000,6.177806
2015-02-13,6.47,6.47,6.47,6.47,000,6.177806
2015-02-12,6.03,6.47,5.50,6.47,3200,6.177806
2015-02-11,6.44,6.69,6.44,6.69,1100,6.387871
2015-02-10,6.34,6.39,6.34,6.39,200,6.101419
2015-02-09,5.70,5.70,5.70,5.70,000,5.44258
2015-02-06,5.70,5.70,5.70,5.70,000,5.44258
2015-02-05,5.70,5.70,5.70,5.70,000,5.44258
2015-02-04,5.70,5.70,5.70,5.70,100,5.44258
2015-02-03,5.70,5.70,5.70,5.70,1700,5.44258
2015-02-02,6.03,6.03,6.03,6.03,000,5.757677
2015-01-30,6.05,6.28,6.03,6.03,4600,5.757677
2015-01-29,5.40,6.20,5.40,6.01,15200,5.73858
2015-01-28,7.00,7.00,5.52,5.52,800,5.270709
2015-01-27,6.50,6.50,5.55,5.55,1500,5.299355
2015-01-26,5.67,5.70,5.67,5.70,1300,5.44258
2015-01-23,5.14,5.14,5.14,5.14,000,4.90787
2015-01-22,5.14,5.14,5.14,5.14,200,4.90787
2015-01-21,5.70,5.70,5.70,5.70,000,5.44258
2015-01-20,5.70,5.70,5.70,5.70,1500,5.44258
2015-01-16,5.50,5.70,5.50,5.70,2000,5.44258
2015-01-15,4.50,4.50,4.50,4.50,000,4.296774
2015-01-14,4.50,4.50,4.50,4.50,500,4.296774
2015-01-13,4.50,4.50,4.50,4.50,000,4.296774
2015-01-12,4.50,4.50,4.50,4.50,000,4.296774
2015-01-09,4.30,4.50,4.30,4.50,400,4.296774
2015-01-08,6.47,6.47,6.47,6.47,000,6.177806
2015-01-07,6.47,6.47,6.47,6.47,000,6.177806
2015-01-06,6.47,6.47,6.47,6.47,000,6.177806
2015-01-05,6.47,6.47,6.47,6.47,000,6.177806
2015-01-02,6.47,6.47,6.47,6.47,200,6.177806
